placename,preposition_drop_determiner,preposition_drop_no_determiner,preposition_retained,longitude,latitude
Sunderland,0.022449273,0.041444812,0.9361059, -1.3838010,54.90687
Rotherham,0.026346745,0.147819452,0.8258338, -1.3635009,53.43260
Castleford,0.028537308,0.102749818,0.8687129, -1.3459680,53.72347
Thirsk,0.029656288,0.060428672,0.9099150, -1.3413770,54.23385
Banbury,0.023049645,0.145094563,0.8318558, -1.3397750,52.06290
Stockton,0.068413704,0.038717646,0.8928686, -1.3289821,54.57046
Newbury,0.011648429,0.134662902,0.8536887, -1.3231139,51.40141
Isle of Wight,0.012993347,0.121632167,0.8653745, -1.3047340,50.69385
Isle of Wight,0.012993347,0.121632167,0.8653745, -1.3047340,50.69385
Abingdon,0.021456208,0.091804432,0.8867394, -1.2879529,51.67078
Shetland Islands,0.006221887,0.022221025,0.9715571, -1.2659409,60.52965
Rugby,0.099187380,0.208532505,0.6922801, -1.2650320,52.37088
Oxford,0.018546556,0.093111279,0.8883422, -1.2577263,51.75202
Middlesbrough,0.067600552,0.038257455,0.8941420, -1.2349560,54.57423
Hartlepool,0.060097834,0.031446541,0.9084556, -1.2129260,54.69174
Loughborough,0.028417314,0.299565847,0.6720168, -1.2061660,52.77210
Mansfield,0.014935280,0.177563890,0.8075008, -1.1986740,53.14720
Nottingham,0.024886878,0.185067873,0.7900452, -1.1581086,52.95478
Bicester,0.016207210,0.099969706,0.8838231, -1.1535899,51.89960
Leicester,0.027730094,0.310180906,0.6620890, -1.1397592,52.63688
Doncaster,0.024671407,0.199041155,0.7762874, -1.1284620,53.52282
Worksop,0.021392454,0.159373785,0.8192338, -1.1227450,53.30930
Basingstoke,0.009868928,0.131534310,0.8585968, -1.0923964,51.26654
Portsmouth,0.017144867,0.135371179,0.8474840, -1.0879769,50.81977
York,0.024971098,0.075606936,0.8994220, -1.0872979,53.95997
Selby,0.025845359,0.084643549,0.8895111, -1.0671890,53.78352
Helmsley,0.041773876,0.058120176,0.9001059, -1.0562636,54.24651
Towcester,0.010394470,0.258172652,0.7314329, -0.9896880,52.13511
Reading,0.017459708,0.150997698,0.8315426, -0.9781303,51.45426
Retford,0.019069923,0.236366678,0.7445634, -0.9455030,53.32136
Petersfield,0.017182962,0.119796709,0.8630203, -0.9389900,51.00759
Northampton,0.008398795,0.298033694,0.6935675, -0.9026560,52.24048
Melton Mowbray,0.020424933,0.289822749,0.6897523, -0.8871260,52.76640
