,userid,construction_type,verb,theme,preposition,goal,theme_type,goal_type,tag,latitude,longitude
3324,5604053,it+pronominal_object,send,it,to,us,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1095,4428886,it+pronominal_object,leave,it,to,you,pronominal,pronominal,prepositional_dative,50.8197675,-1.0879769
1096,4530330,it+pronominal_object,sock,it,to,them,pronominal,pronominal,prepositional_dative,51.8985143,-8.4756035
1097,2320755,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,52.20643569721484,0.12535698193464
1098,6252873,it+pronominal_object,give,it,to,them,pronominal,pronominal,prepositional_dative,52.95478320000001,-1.1581086
3323,5933950,it+pronominal_object,bring,it,to,me,pronominal,pronominal,prepositional_dative,53.1081689,-1.340708
1100,662620,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,54.77525,-1.584852
444,4277916,it+pronominal_object,send,it,to,him,pronominal,pronominal,prepositional_dative,53.683298,-1.505924
1102,2221355,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,53.41987815404958,-2.915426562244173
1103,1008561,it+pronominal_object,return,it,to,us,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
1104,5196328,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,52.66383670000001,-8.6267343
1105,2439765,it+pronominal_object,email,it,to,you,pronominal,pronominal,prepositional_dative,51.39438197826665,-0.07073059423886299
1106,4589919,it+pronominal_object,showed,it,to,him,pronominal,pronominal,prepositional_dative,51.3147593,-0.5599501
1107,3581037,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,51.4571477,-0.1230681
1108,3581037,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,51.4658813,-0.1413263
1109,5433032,it+pronominal_object,dm,it,to,you,pronominal,pronominal,prepositional_dative,51.5557739,-1.7797176
1110,891349,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,52.22341417780962,-0.28747208821685
1111,3877302,it+pronominal_object,send,it,to,you,pronominal,pronominal,prepositional_dative,55.864237,-4.251806
3322,2414473,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,53.37238660000001,-3.1842947999999995
1113,4357418,it+pronominal_object,give,it,to,him,pronominal,pronominal,prepositional_dative,51.481581,-3.17909
1114,979956,it+pronominal_object,put,it,to,you,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3321,2414473,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,53.3727181,-3.073754
1116,6368030,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,53.4807593,-2.2426305
443,5189471,it+pronominal_object,given,it,to,me,pronominal,pronominal,prepositional_dative,53.41987815404958,-2.915426562244173
1118,255709,it+pronominal_object,bring,it,to,me,pronominal,pronominal,prepositional_dative,55.94319513486961,-3.203008046263737
1119,5014077,it+pronominal_object,leave,it,to,me,pronominal,pronominal,prepositional_dative,51.54764418371767,-0.060167093840727014
1120,2040918,it+pronominal_object,explain,it,to,you,pronominal,pronominal,prepositional_dative,50.8197675,-1.0879769
1121,693608,it+pronominal_object,give,it,to,me,pronominal,pronominal,prepositional_dative,51.5073509,-0.12775830000000002
3320,2414473,it+pronominal_object,give,it,to,you,pronominal,pronominal,prepositional_dative,53.37238660000001,-3.1842947999999995
