,placename,adj_fuck_off,fuck_off,fuck_off_adj,longitude,latitude
278,Longford,0.9410952381226064,0.10566882110479893,0.01,-7.7932573,53.7276296
279,Loughborough,0.4817414979274299,0.4556483159730193,0.3937674233373169,-1.206166,52.772099
280,Loughrea,0.8482245891192848,0.23533523215187035,0.01,-8.5660931,53.1989136
281,Louth,0.9235640372274101,0.09963492141350568,0.04123335157817995,-6.4889423,53.9252324
282,Louth_Lincs,0.7693767437149769,0.26623355872094145,0.10701843395907416,-0.007711,53.365962
283,Lowestoft,0.29619332825617906,0.4561299980743778,0.7432206587956209,1.7534490000000005,52.481138
284,Ludlow,0.6750958039287922,0.4199469178722285,0.07718183836210485,-2.7139129,52.367749
285,Luton,0.3565282163348608,0.8358197012802261,0.11625514403292266,-0.4200255,51.87867070000001
286,Lyme Regis,0.06912665100697007,0.9076813655761016,0.5614272809394758,-2.936639,50.725156
287,Macclesfield,0.6627384126790616,0.3387344690662223,0.2102510093031424,-2.119287,53.258663
288,Machynlleth,0.5413668701143669,0.6637713371266,0.01,-3.853485,52.590273
289,Magherafelt,0.9385299255405908,0.04489996489996465,0.08696488696488644,-6.607980499999999,54.755373
290,Maldon,0.3716725598167945,0.6057592311462285,0.3985890652557321,0.6714479999999999,51.731805
291,Mallow,0.8216825265567731,0.2435315827918968,0.039004521763144034,-8.6539164,52.1389762
292,Malton,0.8747365849666915,0.11536717638691388,0.11210317460317612,-0.7978970000000001,54.136836
293,Manchester,0.7178187166494299,0.2989339029983355,0.1601093976538824,-2.2426305,53.4807593
294,Mansfield,0.4614945379348116,0.542853240134523,0.3141198593737233,-1.198674,53.147195
295,March,0.3026169423158388,0.4272048364153633,0.7701903292181074,0.088622,52.551716000000006
296,Margate,0.4371264665294123,0.3771907770683777,0.5839793281653733,1.3868339,51.389646
297,Market Drayton,0.5830259922586926,0.4603841516595274,0.1962572185315439,-2.483485,52.90355200000001
298,Market Weighton,0.8371087161615768,0.21988655761024228,0.041851851851851835,-0.6677465,53.8648392
299,Marlborough,0.2289725094063769,0.8525686491730624,0.334300506343517,-1.727062,51.420073
