,placename,what_for,why,why_for_continuous,why_for_discontinuous,longitude,latitude
278,Colne,0.35824607362976085,0.9316615,0.24555911249630466,0.2785966369741852,-2.176991,53.85564
279,Blandford Forum,0.7912492128133594,0.9316615,0.14418435991507034,0.2790532242383528,-2.165353,50.85691
280,Rochdale,0.5283180461851789,0.9316615,0.055146983301452644,0.3433794625132052,-2.1561,53.60971
281,Jersey,0.6825942521522997,0.9316615,0.23221614659958784,0.32544873283324943,-2.13125,49.21444
282,Wolverhampton,0.5459965916470884,0.9316615,0.09214255310339965,0.7010289803021064,-2.12882,52.586969999999994
283,Stafford,0.7067941766048834,0.9316615,0.01,0.29006302599207334,-2.12066,52.80669
284,Macclesfield,0.6160621795176496,0.9316615,0.01,0.2600939684617457,-2.119287,53.25866
285,Hexham,0.5643510136601316,0.9316615,0.08323538762465797,0.8360175121682749,-2.1121439,54.97266
286,Aberdeen,0.34984613472022574,0.9316615,0.01,0.21698829213431364,-2.094278,57.149719999999995
287,Dudley,0.5176556224744282,0.9316615,0.09744221053330655,0.765735698731947,-2.081112,52.51225
288,Cheltenham,0.5363109965930534,0.9316615,0.2868825853168599,0.45950082598923736,-2.0782533,51.899390000000004
289,Bromsgrove,0.7321914404158426,0.9316615,0.11965228154100006,0.8085127407953603,-2.061906,52.33559
290,Skipton,0.39890273424832157,0.9316615,0.01,0.18060358255106598,-2.0162787,53.96285
291,Fraserburgh,0.34943352094556346,0.9316615,0.01,0.16575832037924607,-2.007631,57.69335
292,Berwick,0.6729961300934385,0.9316615,0.01,0.42145438913132877,-2.005395,55.77024
293,Poole,0.8193224189911468,0.9316615,0.14782584181170577,0.2269076130594925,-1.987248,50.71505
294,Walsall,0.5305211843562283,0.9316615,0.01,0.9964811817140872,-1.9829189999999999,52.586209999999994
295,Cirencester,0.5194498032982663,0.9316615,0.23581657215246415,0.4918075737541034,-1.968243,51.71849
296,Evesham,0.6276018645529892,0.9316615,0.01,0.5062479560754521,-1.9467700000000001,52.09215
297,Buxton,0.6094159194663417,0.9316615,0.01,0.34305946923101466,-1.91483,53.259080000000004
298,Keighley,0.46152158571945706,0.9316615,0.01,0.24308699297377398,-1.9123580000000002,53.8678
299,Birmingham,0.6406280279789829,0.9316615,0.01,0.9929087727235666,-1.8904009999999998,52.48624
300,Bournemouth,0.8372645084931779,0.9316615,0.2862355329126561,0.2292322310394702,-1.880769,50.719159999999995
301,Halifax,0.4332700583875211,0.9316615,0.12726982410330795,0.390709665004644,-1.8575400000000002,53.727019999999996
302,Salisbury,0.809799113063206,0.9316615,0.31548098468107305,0.4105619330186539,-1.794472,51.06878
303,Ringwood,0.5765443554182489,0.9316615,0.19005768623793157,0.3171000488326255,-1.7888169999999999,50.84495
304,Huddersfield,0.40217129912586075,0.9316615,0.15201989672309926,0.4058179786040428,-1.7850351000000002,53.645790000000005
305,Peterhead,0.329671093100237,0.9316615,0.01,0.15991369320880866,-1.784066,57.50812
306,Swindon,0.45032926129196205,0.9316615,0.01,0.7433115477194898,-1.7797176,51.55577
307,Bradford,0.37312717082800934,0.9316615,0.01,0.4080624736339272,-1.759398,53.79598000000001
308,Ashbourne,0.5705396577527654,0.9316615,0.01,0.37845514643583866,-1.7321790000000001,53.016630000000006
309,Marlborough,0.5004602879633503,0.9316615,0.01,0.6328417187045795,-1.7270619999999999,51.42007
310,Stratford-upon-Avon,0.6743040060662945,0.9316615,0.01,0.5558657477240984,-1.7082979999999999,52.19173
311,Alnwick,0.6189909779058964,0.9316615,0.0804610688269349,0.7866730192654015,-1.7062990000000002,55.41274
312,Otley,0.6269074246009503,0.9316615,0.1376982460821244,0.39883108010500345,-1.691786,53.90583
313,Bishop Auckland,0.4429972804617674,0.9316615,0.01,0.6758968231319527,-1.6787880000000002,54.663819999999994
314,Burton upon Trent,0.5914082955338427,0.9316615,0.1568397012188215,0.4605529209177343,-1.6371358999999999,52.81403
