,placename,forget,forgetten,forgot,forgotten,longitude,latitude
238,Penrith,0.01,0.01,0.6445465435780899,0.8112583000000001,-2.752708,54.6641
239,Kendal,0.01,0.01,0.7106287638687315,0.7919075,-2.74629,54.32801
240,Street,0.01,0.2387820322988785,0.1805991755794147,0.9439103,-2.742919,51.12468
241,Glastonbury,0.01,0.2516891570988181,0.17882421288706374,0.9442568,-2.718454,51.14743
242,Hereford,0.01,0.01,0.20872456179071802,0.9388795,-2.715974,52.0564
243,Ludlow,0.01,0.01,0.3414965931104633,0.9,-2.7139129,52.36775
244,Preston,0.01,0.01,0.7863887585605085,0.7697228,-2.70309,53.7632
245,Whitchurch,0.01,0.01,0.5081304704125815,0.8512048000000001,-2.682045,52.96872
246,Wells,0.01,0.3206599895297702,0.1837320311749508,0.9418938,-2.6445979,51.20935
247,Yeovil,0.01,0.5983936012248993,0.19200611797976488,0.935743,-2.633308,50.94206
248,Wigan,0.01,0.01,0.8617203799258877,0.7476636,-2.6325074,53.54506
249,Warrington,0.01,0.01,1.0,0.7071713000000001,-2.5969501,53.39004
250,Arbroath,0.01,0.01,0.455982540508582,0.8664752,-2.591543,56.55911
251,Bristol,0.01,0.01,0.15206829631345206,0.95547,-2.58791,51.45451
252,Guernsey,0.01,0.01,0.08149351759214576,0.9761364,-2.585278,49.46569
253,Ross-on-Wye,0.01,0.01,0.1975352893188164,0.942156,-2.582446,51.91445
254,Jedburgh,0.01,0.01,0.40326683836887706,0.8819119000000001,-2.5549369,55.47772
255,Sedbergh,0.01,0.01,0.6645338952272744,0.8054054,-2.5281740000000004,54.32363
256,Sedbergh,0.01,0.01,0.6645338952272744,0.8054054,-2.5281740000000004,54.32363
257,Nantwich,0.01,0.01,0.7133576972939366,0.7911083999999999,-2.524102,53.06718000000001
258,Banff,0.01,0.01,0.5871001574333444,0.8280801999999999,-2.524038,57.66651
259,Dunbar,0.01,0.01,0.39903921299514733,0.8831498999999999,-2.516737,56.00209
260,Cinderford,0.01,0.01,0.16248845015835026,0.9524187,-2.5009579,51.8253
261,Banchory,0.01,0.01,0.5525673730944874,0.8381924000000001,-2.4909599,57.05386
262,Blackburn,0.01,0.01,0.895067795440399,0.7378985,-2.487529,53.74858
263,Market Drayton,0.01,0.01,0.5003530904024466,0.8534823,-2.483485,52.90355
264,Telford,0.01,0.01,0.3869945940064821,0.8866769,-2.4672611,52.67759
265,Montrose,0.01,0.01,0.4770188672428238,0.8603152000000001,-2.4661150000000003,56.70692
266,Turriff,0.01,0.01,0.5699729080507787,0.8330956,-2.4623,57.53893000000001
267,Weymouth,0.01,0.01,0.06463656276302708,0.9810726,-2.457621,50.61443
268,Crewe,0.01,0.01,0.6664821332909696,0.8048349,-2.4438209,53.1004
269,Fortuneswell,0.01,0.01,0.06463656276302708,0.9810726,-2.442219,50.55919
270,Dorchester,0.01,0.01,0.06363290427587542,0.9813665,-2.4411810000000003,50.71116
271,Alston,0.9622823707068032,0.01,0.7133778114432707,0.7852998000000001,-2.438685,54.81217
272,Kelso,0.01,0.01,0.35738014605057994,0.8953488000000002,-2.432207,55.60003
273,Wincanton,0.01,0.2922523949700879,0.15405860675741848,0.9509644,-2.416007,51.05569000000001
274,Clitheroe,0.01,0.01,0.6128287498059019,0.8205462,-2.3930830000000003,53.8711
275,Sark,0.01,0.01,0.07820531519640374,0.9770992,-2.3666256000000003,49.43007
276,Bath,0.01,0.01,0.16875603958068452,0.9505834,-2.3590167,51.38106
277,Kidderminster,0.01,0.01,0.5436644544631197,0.8407994000000001,-2.2496839,52.3886
278,Manchester,0.01,0.01,0.607300637106289,0.8221649,-2.2426305,53.48076
279,Burnley,0.01,0.01,0.5459092823179313,0.8401421,-2.2405035,53.78929
280,Gloucester,0.01,0.01,0.1481189906631075,0.9566265,-2.238156,51.86424
281,Newcastle-under-Lyme,0.01,0.01,0.5700615605663502,0.8330696,-2.2273002,53.01321
282,Worcester,0.01,0.01,0.2430992673566241,0.9288136,-2.221575,52.19364
283,Trowbridge,0.01,0.01,0.15487372497551385,0.9546485,-2.208853,51.31966
284,Shaftesbury,0.01,0.01,0.1313448487578181,0.9615385,-2.198083,51.0046
285,Alderney,0.01,0.01,0.03888007011881247,0.9886148,-2.1973557,49.715
286,Stoke-on-Trent,0.01,0.01,0.5700615605663502,0.8330696,-2.179404,53.00267
287,Colne,0.01,0.01,0.5373997677618269,0.8426339,-2.176991,53.85564
288,Blandford Forum,0.01,0.01,0.07126887054680332,0.9791304,-2.165353,50.85691
289,Rochdale,0.01,0.01,0.6403061120821187,0.8125,-2.1561,53.60971
290,Jersey,0.01,0.01,0.07776014023762494,0.9772296,-2.13125,49.21444
291,Wolverhampton,0.01,0.01,0.5889543814849563,0.8275372999999999,-2.12882,52.58697
292,Stafford,0.01,0.01,0.5972118374056858,0.8251191999999999,-2.12066,52.80669
293,Macclesfield,0.01,0.01,0.3037570874629805,0.9110511999999998,-2.119287,53.25866
294,Hexham,0.969785499567092,0.01,0.7289254683344041,0.7807018,-2.1121439,54.97266
295,Aberdeen,0.01,0.01,0.5525673730944874,0.8381924000000001,-2.094278,57.14972
296,Dudley,0.01,0.01,0.5778807397594821,0.8307799000000001,-2.081112,52.51225
297,Cheltenham,0.01,0.01,0.1458925353250052,0.9572785,-2.0782533,51.89939
298,Bromsgrove,0.01,0.01,0.5416688849716194,0.8413838,-2.061906,52.33559
299,Skipton,0.01,0.01,0.37887937141678296,0.8890533000000002,-2.0162787,53.96285
300,Fraserburgh,0.01,0.01,0.5871001574333444,0.8280801999999999,-2.007631,57.69335
301,Berwick,0.01,0.01,0.4154613060625992,0.878341,-2.005395,55.77024
302,Poole,0.01,0.01,0.1219630836035909,0.9642857,-1.987248,50.71505
303,Walsall,0.01,0.01,0.6465226819134423,0.8106796,-1.982919,52.58621
304,Cirencester,0.01,0.01,0.15384827900572173,0.9549488000000002,-1.968243,51.71849
305,Evesham,0.01,0.01,0.1757040609647914,0.9485488,-1.94677,52.09215
306,Buxton,0.01,0.15020160817187506,0.6885011847712054,0.796371,-1.91483,53.25908
307,Keighley,0.01,0.01,0.4727375244549979,0.8615689000000001,-1.912358,53.8678
308,Birmingham,0.01,0.01,0.6451804295542216,0.8110727,-1.890401,52.48624
309,Bournemouth,0.01,0.01,0.1474086094501191,0.9568345,-1.880769,50.71916
310,Halifax,0.01,0.01,0.4900597683922296,0.8564964,-1.85754,53.72702
311,Salisbury,0.01,0.01,0.12832858009916992,0.9624216999999998,-1.794472,51.06878
312,Ringwood,0.01,0.01,0.13857832714410598,0.9594203,-1.788817,50.84495
313,Huddersfield,0.01,0.01,0.4766629936431434,0.8604194,-1.7850351000000002,53.64579000000001
