placename,off,off_of,longitude,latitude
Eastbourne,0.9816273,0.018372732,  0.2904720,50.76803
Brentwood,0.9690620,0.030938037,  0.3071749,51.62047
Skegness,0.9845769,0.015423135,  0.3378810,53.14640
Downham Market,0.9804033,0.019596705,  0.3854720,52.60661
King's Lynn,0.9786477,0.021352313,  0.4022963,52.75168
Bexhill,0.9821867,0.017813304,  0.4662071,50.84991
Chelmsford,0.9750763,0.024923727,  0.4685497,51.73559
Mildenhall,0.9807852,0.019214783,  0.5156095,52.34757
Medway,0.9738167,0.026183252,  0.5417861,51.40474
Braintree,0.9752644,0.024735650,  0.5509269,51.88009
Gillingham,0.9742145,0.025785521,  0.5514380,51.38632
Hastings,0.9810742,0.018925836,  0.5734530,50.85426
Maldon,0.9750026,0.024997428,  0.6714480,51.73181
Southend,0.9683878,0.031612223,  0.7077123,51.54593
Bury St Edmunds,0.9814050,0.018595008,  0.7104932,52.24292
Thetford,0.9809907,0.019009331,  0.7516570,52.41286
Ashford,0.9740561,0.025943856,  0.8750190,51.14647
Faversham,0.9723305,0.027669486,  0.8893580,51.31599
Colchester,0.9733943,0.026605653,  0.8918740,51.89593
New Romney,0.9776678,0.022332185,  0.9394730,50.98512
Canterbury,0.9762891,0.023710939,  1.0789089,51.28023
Ipswich,0.9846269,0.015373053,  1.1482200,52.05674
Clacton,0.9784691,0.021530893,  1.1530350,51.78953
Folkestone,0.9760972,0.023902773,  1.1694560,51.08140
Sheringham,0.9829283,0.017071742,  1.2109589,52.94442
Harwich,0.9798722,0.020127768,  1.2602970,51.93473
Norwich,0.9828099,0.017190084,  1.2973550,52.63089
Cromer,0.9828955,0.017104527,  1.3018660,52.93145
Dover,0.9750956,0.024904396,  1.3134027,51.12788
Felixstowe,0.9801957,0.019804254,  1.3512550,51.96173
Margate,0.9765870,0.023413033,  1.3868339,51.38965
Ramsgate,0.9764700,0.023529959,  1.4198950,51.33555
Great Yarmouth,0.9823721,0.017627864,  1.7280470,52.59823
