placename,past participle,present participle,longitude,latitude
Gainsborough,0.72427984,0.2757202, -0.7744650,53.40058
Milton Keynes,0.39961881,0.6003812, -0.7594171,52.04062
Aldershot,0.39843750,0.6015625, -0.7557509,51.24837
High Wycombe,0.36926438,0.6307356, -0.7482290,51.62861
Midhurst,0.42385371,0.5761463, -0.7372740,50.98690
Kettering,0.44098443,0.5590156, -0.7302490,52.39632
Wellingborough,0.43836317,0.5616368, -0.6939640,52.30242
Corby,0.45617530,0.5438247, -0.6842333,52.49230
Bognor Regis,0.43694690,0.5630531, -0.6730610,50.78300
Scunthorpe,0.77351248,0.2264875, -0.6544130,53.58865
Grantham,0.58364591,0.4163541, -0.6435820,52.91252
Whitby,0.63986410,0.3601359, -0.6133470,54.48633
Slough,0.30260870,0.6973913, -0.5950406,51.51054
Guildford,0.34898388,0.6510161, -0.5704090,51.23622
Woking,0.37210932,0.6278907, -0.5600349,51.31677
Lincoln,0.68783784,0.3121622, -0.5405790,53.23069
Bedford,0.38428928,0.6157107, -0.4667782,52.13864
Heathrow,0.30857143,0.6914286, -0.4542955,51.47002
Driffield,0.72645471,0.2735453, -0.4433770,54.00600
Beverley,0.73198332,0.2680167, -0.4350930,53.84196
Luton,0.34225092,0.6577491, -0.4200255,51.87867
Scarborough,0.75313351,0.2468665, -0.3997520,54.28311
Worthing,0.34873516,0.6512648, -0.3728820,50.81787
Dorking,0.30460449,0.6953955, -0.3323780,51.23220
Hull,0.72988812,0.2701119, -0.3274198,53.76762
Horsham,0.27702703,0.7229730, -0.3258580,51.06288
Biggleswade,0.35036702,0.6496330, -0.2642200,52.08694
Peterborough,0.43183115,0.5681689, -0.2405299,52.56950
Welwyn Garden City,0.26528600,0.7347140, -0.2086610,51.80317
Bridlington,0.71801567,0.2819843, -0.1988020,54.08535
Stevenage,0.30465587,0.6953441, -0.1966120,51.90376
Crawley,0.28549142,0.7145086, -0.1872275,51.10914
Huntingdon,0.38995943,0.6100406, -0.1825520,52.33146
Hove,0.28597285,0.7140271, -0.1687490,50.82793
Spalding,0.54490566,0.4550943, -0.1537024,52.79010
Brighton,0.28622862,0.7137714, -0.1371630,50.82253
London,0.25097883,0.7490212, -0.1277583,51.50735
Grimsby,0.77255639,0.2274436, -0.0807840,53.56747
Boston,0.56819788,0.4318021, -0.0265770,52.97894
Royston,0.34136437,0.6586356, -0.0240660,52.04814
Louth,0.74185766,0.2581423, -0.0077110,53.36596
Lewes,0.28156222,0.7184378,  0.0087800,50.87387
Chatteris,0.44675325,0.5532468,  0.0540120,52.45610
Uckfield,0.27094340,0.7290566,  0.0959130,50.96641
Cambridge,0.36935666,0.6306433,  0.1218170,52.20534
Bishop's Stortford,0.23852877,0.7614712,  0.1536502,51.87216
Wisbech,0.42492582,0.5750742,  0.1587970,52.66632
Sevenoaks,0.22240803,0.7775920,  0.1908980,51.27241
Tunbridge Wells,0.22297955,0.7770204,  0.2636950,51.13238
Eastbourne,0.27540729,0.7245927,  0.2904720,50.76803
Brentwood,0.22408223,0.7759178,  0.3071749,51.62047
Skegness,0.60144928,0.3985507,  0.3378810,53.14640
Downham Market,0.39765756,0.6023424,  0.3854720,52.60661
King's Lynn,0.39866370,0.6013363,  0.4022963,52.75168
Bexhill,0.26486486,0.7351351,  0.4662071,50.84991
Chelmsford,0.26145217,0.7385478,  0.4685497,51.73559
Mildenhall,0.36686714,0.6331329,  0.5156095,52.34757
Medway,0.24696970,0.7530303,  0.5417861,51.40474
Braintree,0.28079361,0.7192064,  0.5509269,51.88009
Gillingham,0.24659607,0.7534039,  0.5514380,51.38632
Hastings,0.26989080,0.7301092,  0.5734530,50.85426
Maldon,0.26718995,0.7328100,  0.6714480,51.73181
Southend,0.27198573,0.7280143,  0.7077123,51.54593
Bury St Edmunds,0.35116676,0.6488332,  0.7104932,52.24292
Thetford,0.37113402,0.6288660,  0.7516570,52.41286
Ashford,0.27155520,0.7284448,  0.8750190,51.14647
Faversham,0.25218775,0.7478123,  0.8893580,51.31599
Colchester,0.30394048,0.6960595,  0.8918740,51.89593
New Romney,0.26184032,0.7381597,  0.9394730,50.98512
Canterbury,0.27337931,0.7266207,  1.0789089,51.28023
Ipswich,0.33217164,0.6678284,  1.1482200,52.05674
Clacton,0.28925102,0.7107490,  1.1530350,51.78953
Folkestone,0.27389558,0.7261044,  1.1694560,51.08140
Sheringham,0.39608270,0.6039173,  1.2109589,52.94442
Harwich,0.31639207,0.6836079,  1.2602970,51.93473
Norwich,0.37751678,0.6224832,  1.2973550,52.63089
Cromer,0.39293362,0.6070664,  1.3018660,52.93145
Dover,0.27345630,0.7265437,  1.3134027,51.12788
Felixstowe,0.33518846,0.6648115,  1.3512550,51.96173
Margate,0.28957732,0.7104227,  1.3868339,51.38965
Ramsgate,0.28919861,0.7108014,  1.4198950,51.33555
